State,HighQ,HighQN,MedQ,MedQN,LowQ,LowQN,date
California,246.41,13480,192.86,14642,192.64,869,4/7/2014
California,246.05,13863,192.68,15156,191.4,900,5/7/2014
California,245.69,14253,192.23,15694,189.77,933,6/7/2014
California,245.39,14628,191.87,16190,189.29,955,7/7/2014
California,245.36,15012,191.55,16757,188.74,978,8/7/2014
California,245.08,15274,191.25,17118,NA,998,9/7/2014
California,245,15471,190.86,17437,NA,1002,10/7/2014
California,244.82,15780,190.76,17925,NA,1031,11/7/2014
California,244.22,16201,190.14,18618,NA,1068,12/7/2014
California,248.63,12243,193.53,12955,192.91,784,1/8/2014
California,248.37,12688,192.92,13550,191.14,812,2/8/2014
California,247.22,13110,192.95,14044,192.21,842,3/8/2014
California,246.34,13495,192.79,14663,192.64,869,4/8/2014
California,246.01,13869,192.67,15173,191.4,900,5/8/2014
California,245.63,14263,192.2,15709,189.77,933,6/8/2014
California,245.36,14646,191.86,16208,189.4,956,7/8/2014
California,245.35,15026,191.54,16773,188.6,981,8/8/2014
California,245.05,15278,191.2,17129,NA,998,9/8/2014
California,245,15482,190.86,17443,NA,1003,10/8/2014
California,244.79,15792,190.71,17949,NA,1031,11/8/2014
California,244.2,16213,190.17,18638,NA,1069,12/8/2014
California,248.58,12256,193.54,12980,192.89,785,1/9/2014
California,248.34,12706,192.92,13568,191.14,812,2/9/2014
California,247.19,13115,193.01,14057,192.27,843,3/9/2014
California,246.36,13505,192.78,14683,192.41,871,4/9/2014
California,245.93,13886,192.62,15192,191.22,901,5/9/2014
California,245.56,14276,192.16,15720,189.73,934,6/9/2014
California,245.36,14659,191.88,16232,189.4,956,7/9/2014
California,245.34,15037,191.51,16793,188.4,982,8/9/2014
California,245.01,15282,191.24,17138,NA,998,9/9/2014
California,245.03,15488,190.89,17454,NA,1003,10/9/2014
California,244.81,15804,190.66,17975,NA,1033,11/9/2014
California,244.13,16231,190.1,18662,NA,1069,12/9/2014
California,248.56,12270,193.5,13001,192.67,786,1/10/2014
California,248.27,12718,192.86,13591,191.09,813,2/10/2014
California,247.21,13130,193.01,14074,192.52,844,3/10/2014
California,246.34,13524,192.8,14696,192.21,872,4/10/2014
California,245.9,13895,192.65,15212,191.03,902,5/10/2014
California,245.49,14287,192.17,15732,189.75,935,6/10/2014
California,245.41,14675,191.9,16255,189.4,956,7/10/2014
California,245.3,15050,191.51,16811,188.13,985,8/10/2014
California,245.03,15287,191.24,17147,NA,998,9/10/2014
California,245.03,15490,190.88,17463,NA,1004,10/10/2014
California,244.82,15820,190.7,17996,NA,1033,11/10/2014
California,244.15,16243,190.11,18683,NA,1069,12/10/2014
California,248.54,12278,193.5,13013,192.67,786,1/11/2014
California,248.23,12733,192.9,13609,190.87,814,2/11/2014
California,247.13,13144,192.93,14093,192.52,844,3/11/2014
California,246.31,13539,191.95,14710,192.03,873,4/11/2014
California,245.91,13904,192.61,15227,190.83,903,5/11/2014
California,245.5,14297,192.13,15747,189.75,935,6/11/2014
California,245.41,14699,191.87,16279,189.23,958,7/11/2014
California,245.3,15062,191.55,16829,187.97,986,8/11/2014
California,245.03,15290,191.23,17151,NA,998,9/11/2014
California,245.03,15494,190.88,17476,NA,1005,10/11/2014
California,244.81,15835,190.66,18019,NA,1033,11/11/2014
California,244.1,16259,190.1,18710,NA,1069,12/11/2014
California,248.47,12289,193.51,13025,192.88,788,1/12/2014
California,248.26,12753,192.89,13618,191,818,2/12/2014
California,247.06,13153,192.89,14121,192.56,845,3/12/2014
California,246.23,13548,191.96,14726,192.18,874,4/12/2014
California,245.9,13928,192.64,15241,190.63,904,5/12/2014
California,245.48,14313,192.06,15768,189.75,935,6/12/2014
California,245.41,14708,191.82,16297,189.23,958,7/12/2014
California,245.3,15066,191.61,16839,187.97,986,8/12/2014
California,245.05,15295,191.24,17162,NA,998,9/12/2014
California,244.98,15499,190.9,17486,NA,1005,10/12/2014
California,244.81,15850,190.63,18040,NA,1036,11/12/2014
California,244.02,16273,190.09,18737,NA,1070,12/12/2014
California,248.45,12301,193.46,13039,192.88,788,1/13/2014
California,248.24,12766,192.93,13636,191,818,2/13/2014
California,247,13171,192.94,14139,192.56,845,3/13/2014
California,246.19,13554,191.99,14744,192.42,875,4/13/2014
California,245.91,13941,192.55,15267,190.47,905,5/13/2014
California,245.5,14328,192.07,15782,189.75,935,6/13/2014
California,245.46,14723,191.82,16317,189.23,958,7/13/2014
California,245.33,15081,191.63,16853,187.83,987,8/13/2014
California,245.04,15299,191.19,17175,NA,998,9/13/2014
California,244.96,15508,190.91,17495,NA,1005,10/13/2014
California,244.75,15866,190.58,18069,NA,1041,11/13/2014
California,243.99,16285,190.04,18759,NA,1070,12/13/2014
California,248.41,12312,193.39,13059,192.88,788,1/14/2014
California,248.26,12784,192.89,13645,190.78,819,2/14/2014
California,246.98,13183,192.94,14155,192.56,845,3/14/2014
California,246.23,13567,192.05,14758,192.42,875,4/14/2014
California,245.84,13956,192.5,15278,190.27,908,5/14/2014
California,245.5,14340,192.06,15791,189.6,936,6/14/2014
California,245.47,14735,191.75,16333,189.55,960,7/14/2014
California,245.27,15094,191.58,16870,187.93,988,8/14/2014
California,245.05,15308,191.22,17183,NA,998,9/14/2014
California,244.97,15516,190.92,17506,NA,1005,10/14/2014
California,244.77,15883,190.49,18093,NA,1041,11/14/2014
California,244.02,16294,189.99,18776,NA,1070,12/14/2014
California,248.48,12326,193.38,13080,192.88,789,1/15/2014
California,248.22,12793,192.86,13666,190.78,819,2/15/2014
California,246.98,13195,192.95,14170,192.34,846,3/15/2014
California,246.22,13585,192.02,14778,192.55,876,4/15/2014
California,245.88,13969,192.51,15290,190.18,909,5/15/2014
California,245.5,14351,192.07,15800,189.6,936,6/15/2014
California,245.43,14749,191.72,16355,189.42,961,7/15/2014
California,245.27,15108,191.6,16881,187.94,989,8/15/2014
California,245.03,15311,191.19,17195,NA,998,9/15/2014
California,245.02,15523,190.9,17518,NA,1005,10/15/2014
California,244.75,15893,190.43,18113,NA,1042,11/15/2014
California,244.01,16304,189.92,18797,NA,1075,12/15/2014
California,248.44,12341,193.29,13097,192.88,789,1/16/2014
California,248.22,12810,192.83,13679,190.78,819,2/16/2014
California,246.95,13204,192.92,14186,192.34,846,3/16/2014
California,246.23,13594,192.01,14796,192.76,878,4/16/2014
California,245.88,13978,192.44,15311,190.15,910,5/16/2014
California,245.54,14361,192.08,15817,189.64,937,6/16/2014
California,245.49,14763,191.7,16368,189.42,961,7/16/2014
California,245.19,15123,191.59,16900,187.94,989,8/16/2014
California,245.09,15320,191.15,17205,NA,998,9/16/2014
California,245.01,15538,190.91,17522,NA,1006,10/16/2014
California,244.7,15907,190.35,18142,NA,1044,11/16/2014
California,244.02,16327,189.82,18826,NA,1076,12/16/2014
California,248.43,12357,193.23,13118,192.88,789,1/17/2014
California,248.23,12826,192.87,13699,190.78,819,2/17/2014
California,246.93,13213,192.93,14208,192.34,846,3/17/2014
California,246.26,13601,192,14807,192.76,878,4/17/2014
California,245.95,13991,192.45,15330,190.02,911,5/17/2014
California,245.54,14371,192,15834,189.64,937,6/17/2014
California,245.47,14779,191.72,16390,189.22,962,7/17/2014
California,245.22,15138,191.54,16915,187.94,989,8/17/2014
California,245.1,15323,191.17,17215,NA,998,9/17/2014
California,244.97,15546,190.88,17532,NA,1007,10/17/2014
California,244.7,15918,190.34,18170,NA,1045,11/17/2014
California,244.01,16336,189.77,18840,NA,1078,12/17/2014
California,248.49,12372,193.2,13134,192.89,790,1/18/2014
California,248.14,12838,192.92,13708,190.78,819,2/18/2014
California,246.91,13220,192.93,14229,192.14,847,3/18/2014
California,246.24,13610,191.99,14826,192.76,878,4/18/2014
California,245.9,14008,192.39,15343,190.02,911,5/18/2014
California,245.53,14381,192.01,15852,189.45,938,6/18/2014
California,245.47,14790,191.76,16415,189.22,962,7/18/2014
California,245.19,15148,191.54,16932,187.94,989,8/18/2014
California,245.07,15328,191.18,17226,NA,998,9/18/2014
California,244.96,15549,190.87,17542,NA,1007,10/18/2014
California,244.71,15930,190.32,18201,NA,1047,11/18/2014
California,244.04,16352,189.79,18882,NA,1078,12/18/2014
California,248.44,12386,193.2,13144,192.89,790,1/19/2014
California,248.1,12853,192.93,13729,191.06,821,2/19/2014
California,246.9,13230,193.01,14252,191.92,849,3/19/2014
California,246.26,13625,192.05,14844,192.76,878,4/19/2014
California,245.86,14020,192.38,15356,190.02,911,5/19/2014
California,245.48,14397,192,15878,189.45,938,6/19/2014
California,245.47,14802,191.74,16434,189.02,963,7/19/2014
California,245.18,15154,191.52,16943,187.86,991,8/19/2014
California,245.05,15336,191.19,17233,NA,999,9/19/2014
California,244.94,15557,190.86,17552,NA,1007,10/19/2014
California,244.7,15944,190.35,18224,NA,1048,11/19/2014
California,244.07,16367,189.72,18897,NA,1079,12/19/2014
California,248.39,12394,193.19,13164,192.89,790,1/20/2014
California,248.09,12858,192.92,13749,191.19,823,2/20/2014
California,246.94,13240,193.01,14276,191.91,851,3/20/2014
California,246.14,13638,192.02,14860,192.25,881,4/20/2014
California,245.85,14034,192.4,15372,189.79,913,5/20/2014
California,245.49,14406,192,15892,189.45,938,6/20/2014
California,245.5,14814,191.7,16454,188.94,965,7/20/2014
California,245.15,15166,191.52,16946,188.7,992,8/20/2014
California,245.05,15339,191.15,17247,NA,999,9/20/2014
California,244.97,15563,190.83,17563,NA,1007,10/20/2014
California,244.66,15958,190.34,18253,NA,1049,11/20/2014
California,244.1,16375,189.67,18922,NA,1079,12/20/2014
California,248.33,12408,193.21,13187,192.71,791,1/21/2014
California,248.03,12870,192.87,13762,190.8,825,2/21/2014
California,246.93,13253,192.99,14299,191.91,851,3/21/2014
California,246.2,13651,192.02,14881,192.17,883,4/21/2014
California,245.85,14045,192.43,15388,190.53,915,5/21/2014
California,245.47,14419,191.98,15905,189.1,941,6/21/2014
California,245.5,14818,191.7,16472,188.94,965,7/21/2014
California,245.16,15172,191.54,16959,188.7,992,8/21/2014
California,245.06,15346,191.12,17260,NA,999,9/21/2014
California,244.95,15569,190.82,17571,NA,1007,10/21/2014
California,244.62,15975,190.35,18271,NA,1049,11/21/2014
California,244.04,16390,189.62,18944,NA,1079,12/21/2014
California,248.28,12424,193.2,13203,192.71,791,1/22/2014
California,247.95,12881,192.84,13776,190.69,826,2/22/2014
California,246.94,13262,193,14318,191.8,852,3/22/2014
California,246.14,13666,191.98,14897,192,884,4/22/2014
California,245.83,14061,192.42,15400,190.33,916,5/22/2014
California,245.44,14425,191.96,15919,189.1,941,6/22/2014
California,245.49,14834,191.69,16489,188.94,965,7/22/2014
California,245.17,15181,191.47,16971,188.7,992,8/22/2014
California,245.05,15351,191.09,17273,NA,1000,9/22/2014
California,245.01,15579,190.88,17582,NA,1008,10/22/2014
California,244.58,15993,190.34,18292,NA,1050,11/22/2014
California,244.06,16405,189.66,18972,NA,1081,12/22/2014
California,248.25,12434,193.18,13222,192.71,791,1/23/2014
California,247.87,12891,192.82,13787,191.03,828,2/23/2014
California,246.98,13270,192.99,14335,191.8,852,3/23/2014
California,246.18,13681,191.96,14917,191.85,886,4/23/2014
California,245.82,14069,192.4,15423,190.09,918,5/23/2014
California,245.43,14443,191.99,15942,189.06,942,6/23/2014
California,245.49,14843,191.67,16506,188.84,966,7/23/2014
California,245.12,15187,191.41,16983,188.66,993,8/23/2014
California,245.04,15357,191.07,17283,NA,1000,9/23/2014
California,244.99,15583,190.92,17601,NA,1009,10/23/2014
California,244.57,16004,190.31,18322,NA,1051,11/23/2014
California,244.04,16418,189.63,18986,NA,1082,12/23/2014
California,248.22,12445,193.13,13247,192.71,791,1/24/2014
California,247.78,12911,192.91,13808,191.32,832,2/24/2014
California,246.96,13285,192.9,14360,191.8,852,3/24/2014
California,246.1,13699,191.93,14933,191.85,886,4/24/2014
California,245.78,14080,192.35,15442,190.09,918,5/24/2014
California,245.42,14455,191.97,15964,189.06,942,6/24/2014
California,245.46,14858,191.65,16522,188.81,967,7/24/2014
California,245.1,15193,191.41,16989,188.75,994,8/24/2014
California,245,15367,191.03,17296,NA,1000,9/24/2014
California,244.99,15590,190.94,17615,NA,1009,10/24/2014
California,244.6,16018,190.31,18337,NA,1051,11/24/2014
California,244.03,16431,189.58,19006,NA,1087,12/24/2014
California,248.18,12460,193.05,13270,192.35,797,1/25/2014
California,247.69,12926,192.92,13819,191.32,832,2/25/2014
California,246.9,13299,192.88,14377,191.57,853,3/25/2014
California,246.08,13714,191.92,14952,191.85,886,4/25/2014
California,245.76,14084,192.3,15463,190.09,918,5/25/2014
California,245.42,14463,191.99,15977,189.01,944,6/25/2014
California,245.41,14870,191.67,16539,188.85,968,7/25/2014
California,245.1,15197,191.41,16996,188.6,995,8/25/2014
California,244.99,15374,191.02,17305,NA,1000,9/25/2014
California,244.98,15600,190.97,17635,NA,1010,10/25/2014
California,244.6,16036,190.33,18366,NA,1055,11/25/2014
California,244.04,16436,189.54,19017,NA,1089,12/25/2014
California,248.21,12476,192.98,13290,192.25,798,1/26/2014
California,247.69,12945,192.99,13841,191.09,833,2/26/2014
California,246.89,13309,192.94,14394,191.8,854,3/26/2014
California,246.08,13722,191.91,14966,191.68,888,4/26/2014
California,245.7,14097,192.29,15480,190.06,919,5/26/2014
California,245.4,14480,191.93,15993,188.92,946,6/26/2014
California,245.43,14880,191.6,16557,188.77,969,7/26/2014
California,245.13,15204,191.45,17003,188.6,995,8/26/2014
California,245.03,15385,191.04,17309,NA,1000,9/26/2014
California,245.01,15611,190.94,17652,NA,1011,10/26/2014
California,244.55,16051,190.33,18391,NA,1056,11/26/2014
California,244.03,16446,189.52,19041,NA,1090,12/26/2014
California,248.24,12486,192.98,13307,192.25,798,1/27/2014
California,247.66,12965,192.96,13861,191.09,833,2/27/2014
California,246.86,13332,192.99,14417,191.95,858,3/27/2014
California,246.12,13733,191.89,14981,191.68,888,4/27/2014
California,245.67,14103,192.29,15494,190.21,921,5/27/2014
California,245.36,14485,191.94,16013,188.67,948,6/27/2014
California,245.39,14893,191.58,16567,188.6,970,7/27/2014
California,245.1,15210,191.46,17013,NA,995,8/27/2014
California,245.02,15391,191.05,17319,NA,1000,9/27/2014
California,245.04,15620,190.94,17677,NA,1011,10/27/2014
California,244.51,16066,190.32,18400,NA,1058,11/27/2014
California,244.05,16460,189.45,19066,NA,1093,12/27/2014
California,248.28,12513,193.01,13339,191.96,800,1/28/2014
California,247.6,12978,192.93,13889,190.53,836,2/28/2014
California,246.8,13346,193,14439,192.24,859,3/28/2014
California,246.07,13746,191.88,14997,191.64,889,4/28/2014
California,245.71,14117,192.31,15513,190.29,922,5/28/2014
California,245.42,14497,191.94,16034,188.67,948,6/28/2014
California,245.43,14904,191.55,16585,188.48,972,7/28/2014
California,245.11,15216,191.43,17019,NA,995,8/28/2014
California,245,15392,191.03,17331,NA,1000,9/28/2014
California,245.05,15634,190.98,17701,NA,1011,10/28/2014
California,244.51,16079,190.33,18414,NA,1058,11/28/2014
California,244.05,16474,189.42,19085,NA,1093,12/28/2014
California,248.23,12530,192.91,13355,192.24,802,1/29/2014
California,246.82,13359,192.99,14457,192.06,862,3/29/2014
California,246.07,13756,191.86,15019,191.64,889,4/29/2014
California,245.66,14134,192.29,15533,190.59,924,5/29/2014
California,245.37,14511,191.98,16054,188.67,948,6/29/2014
California,245.4,14915,191.56,16603,188.48,972,7/29/2014
California,245.11,15218,191.39,17028,NA,995,8/29/2014
California,245,15402,191.03,17343,NA,1001,9/29/2014
California,245.08,15643,190.98,17718,NA,1014,10/29/2014
California,244.48,16090,190.26,18435,NA,1060,11/29/2014
California,244,16484,189.41,19107,NA,1093,12/29/2014
California,248.28,12544,192.86,13374,192.01,803,1/30/2014
California,246.83,13371,193.02,14480,192.06,862,3/30/2014
California,246.05,13770,191.9,15029,191.55,890,4/30/2014
California,245.66,14146,192.25,15544,190.34,926,5/30/2014
California,245.4,14525,191.95,16073,188.57,949,6/30/2014
California,245.37,14926,191.57,16621,188.12,975,7/30/2014
California,245.12,15224,191.38,17038,NA,995,8/30/2014
California,245.01,15410,190.98,17357,NA,1001,9/30/2014
California,245.09,15659,191.01,17738,NA,1021,10/30/2014
California,244.43,16102,190.26,18452,NA,1061,11/30/2014
California,243.98,16492,189.37,19124,NA,1093,12/30/2014
California,248.23,12559,192.82,13391,191.94,804,1/31/2014
California,246.83,13383,193.01,14501,191.98,863,3/31/2014
California,245.68,14157,192.26,15561,190.01,929,5/31/2014
California,245.39,14928,191.61,16635,188.12,975,7/31/2014
California,245.11,15234,191.36,17049,NA,995,8/31/2014
California,245.13,15667,191.03,17758,NA,1023,10/31/2014
California,243.96,16501,189.38,19140,NA,1094,12/31/2014
